Marker,Category,ID,Type,Address,Received,Agency,Latitude,Longitude,Units
https://web.pulsepoint.org/images/respond_icons/me_map_active.png,active,2296541797,ME,"HILLSDALE DR, CHARLOTTESVILLE, VA",2025-09-22T02:25:48Z,00300,38.0739216008,-78.4735028808,"E83 (OS), RS18 (OS)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296535849,ME,"RAVENSCROFT WAY, CHARLOTTESVILLE, VA",2025-09-22T02:18:28Z,00300,38.1101794999,-78.4480098669,E121 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296473401,ME,"ED JONES RD, CHARLOTTESVILLE, VA",2025-09-22T00:50:21Z,00300,37.9300888327,-78.4206788769,"C23 (AR), CHF20 (AR), CHF21 (AR), E161 (AR), RS16 (AR), ST2 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296464439,ME,"CROZET AVE, CROZET, VA",2025-09-22T00:37:42Z,00300,38.0703489034,-78.7006153988,RS503 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296448003,ME,"ARBOR CREST DR, CHARLOTTESVILLE, VA",2025-09-22T00:15:25Z,00300,38.0721368838,-78.4982703786,E83 (AR)
https://web.pulsepoint.org/images/respond_icons/elr_map_recent.png,recent,2296427347,ELR,"565 MCCORMICK RD, CHARLOTTESVILLE, VA",2025-09-21T23:50:11Z,54000,38.0329964692,-78.5167528915,"SQ10 (AR), UVA2 (AR)"
https://web.pulsepoint.org/images/respond_icons/tc_map_recent.png,recent,2296389942,TC,"907 W MAIN ST, CHARLOTTESVILLE, VA",2025-09-21T22:58:41Z,54000,38.0324936272,-78.4941593472,"E5 (AR), E7 (AR), RSFM1 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296368043,ME,"RAVENSCROFT WAY, CHARLOTTESVILLE, VA",2025-09-21T22:27:33Z,00300,38.1101794999,-78.4480098669,E121 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296362584,ME,"NICHOLS CT, CHARLOTTESVILLE, VA",2025-09-21T22:20:31Z,00300,38.0851240601,-78.4808185911,"E83 (AR), RS18 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296310356,ME,"ROLLING -FLU 1ST DUE- RD S, SCOTTSVILLE, VA",2025-09-21T21:10:54Z,00300,37.8419476234,-78.4067225115,RS17 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296272197,ME,"5TH ST & E I64 EXIT 120 OFF, CHARLOTTESVILLE, VA",2025-09-21T20:22:47Z,00300,38.0075198749,-78.5098397048,"RS11 (AR), SQ11 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296251401,ME,"CARLTON AVE, CHARLOTTESVILLE, VA",2025-09-21T19:51:47Z,54000,38.0210784499,-78.4670121917,"E5 (AR), RSFM10 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296248619,ME,"DICE ST, CHARLOTTESVILLE, VA",2025-09-21T19:49:50Z,54000,38.0294923708,-78.4904905427,"E7 (AR), RSFM1 (AR)"
https://web.pulsepoint.org/images/respond_icons/cf_map_recent.png,recent,2296209029,CF,"2111 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA",2025-09-21T18:57:49Z,54000,38.0262211173,-78.5142907063,"BC1 (AR), BC2 (AR), E1 (AR), E5 (AR), E7 (AR), E10 (AR), FM4 (AR), RSFM1 (AR), RSFM10 (AR), SQ10 (AR), TRK9 (AR), VOL (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296201196,ME,"SOUTH PANTOPS DR, CHARLOTTESVILLE, VA",2025-09-21T18:46:26Z,00300,38.0255753583,-78.4493118413,"RS11 (AR), ST16 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296195885,ME,"MILTON HILLS DR, CHARLOTTESVILLE, VA",2025-09-21T18:38:51Z,00300,37.9900590872,-78.4020701892,"C23 (AR), RS18 (AR), ST2 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296190563,ME,"CARTERS MOUNTAIN TRL, CHARLOTTESVILLE, VA",2025-09-21T18:30:44Z,00300,37.9915188830,-78.4717498098,"E161 (AR), RS16 (AR)"
https://web.pulsepoint.org/images/respond_icons/oi_map_recent.png,recent,2296185589,OI,"2159 GLENMORE -BUC- RD, SCOTTSVILLE, VA",2025-09-21T18:24:59Z,00300,37.6820754263,-78.5560909984,"BC201 (AR), ST7 (AR), T77 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296182696,ME,"5TH ST SW, CHARLOTTESVILLE, VA",2025-09-21T18:19:30Z,54000,38.0132684921,-78.5029020877,"RS143 (AR), RS147 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296177317,ME,"STRIBLING AVE, CHARLOTTESVILLE, VA",2025-09-21T18:10:30Z,54000,38.0223720920,-78.5206120914,"E10 (AR), RSFM10 (AR)"
https://web.pulsepoint.org/images/respond_icons/tc_map_recent.png,recent,2296142514,TC,"1817 EMMET ST N, CHARLOTTESVILLE, VA",2025-09-21T17:24:20Z,54000,38.0606072329,-78.4932936533,"E1 (AR), TRK9 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296137559,ME,"SPRUCE ST, CHARLOTTESVILLE, VA",2025-09-21T17:19:20Z,54000,38.0244883114,-78.4719442720,"E5 (AR), RSFM10 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296136740,ME,"BURNLEY AVE & RUGBY RD, CHARLOTTESVILLE, VA",2025-09-21T17:16:28Z,54000,38.0436173501,-78.4979155130,"E7 (AR), RSFM1 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296132590,ME,"FOUNDERS PL, CHARLOTTESVILLE, VA",2025-09-21T17:11:18Z,00300,37.9964229281,-78.4971364992,RS16 (AR)
https://web.pulsepoint.org/images/respond_icons/tc_map_recent.png,recent,2296115610,TC,"DICKERSON RD & EARLYSVILLE RD, EARLYSVILLE, VA",2025-09-21T16:48:52Z,00300,38.1277331678,-78.4603870591,"E121 (AR), RS12 (AR), ST12 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296111774,ME,"ARCHER AVE, CHARLOTTESVILLE, VA",2025-09-21T16:41:03Z,00300,38.1043185609,-78.4569633545,"C89 (AR), RS12 (AR), RS18 (AR)"
https://web.pulsepoint.org/images/respond_icons/vf_map_recent.png,recent,2296095294,VF,"I-64 W, CROSSOVER & I-64 W, CHARLOTTESVILLE, VA",2025-09-21T16:15:28Z,00300,38.0214526980,-78.4204642510,"E22 (AR), E83 (AR), ST16 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296092814,ME,"MARIETTA DR, CHARLOTTESVILLE, VA",2025-09-21T16:11:10Z,00300,38.0401320455,-78.4453593643,"E161 (AR), RS16 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296088012,ME,"10TH ST NW & RUN ST, CHARLOTTESVILLE, VA",2025-09-21T16:03:12Z,54000,38.0344078821,-78.4938016443,RS146 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296065589,ME,"RIO HILL CTR, CHARLOTTESVILLE, VA",2025-09-21T15:27:21Z,00300,38.0891678178,-78.4740400427,"C89 (AR), RS18 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296045187,ME,"GARTH RD, CROZET, VA",2025-09-21T14:48:16Z,00300,38.1188996004,-78.6512277629,RS503 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296041964,ME,"BARRACKS RD, CHARLOTTESVILLE, VA",2025-09-21T14:42:39Z,00300,38.0613613542,-78.5142746563,RS15 (AR)
https://web.pulsepoint.org/images/respond_icons/fa_map_recent.png,recent,2296038213,FA,"104 FALCON DR, CHARLOTTESVILLE, VA",2025-09-21T14:38:07Z,00300,38.0641484976,-78.5230549254,"E83 (AR), ST8 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296033247,ME,"W MARKET ST, CHARLOTTESVILLE, VA",2025-09-21T14:27:22Z,54000,38.0315747542,-78.4814746085,RS147 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2296003342,ME,"WEST RIVER -FLU 1ST DUE- RD, SCOTTSVILLE, VA",2025-09-21T13:20:35Z,00300,37.7908790413,-78.4208636199,RS17 (AR)
https://web.pulsepoint.org/images/respond_icons/tc_map_recent.png,recent,2296003212,TC,"311 SIMMONS GAP RD, DYKE, VA",2025-09-21T13:19:17Z,00300,38.1878271612,-78.4963690389,"E121 (AR), RS12 (AR), ST4 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295994235,ME,"RADFORD LN, CHARLOTTESVILLE, VA",2025-09-21T12:54:39Z,00300,38.0506103400,-78.6832214369,"C508 (AR), RS502 (AR), RS503 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295991938,ME,"CEDARS CT, CHARLOTTESVILLE, VA",2025-09-21T12:48:53Z,54000,38.0564498458,-78.5006613674,"RS143 (AR), RS146 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295979181,ME,"HARRIS RD, CHARLOTTESVILLE, VA",2025-09-21T12:10:02Z,54000,38.0153520742,-78.5038724970,"E5 (AR), RSFM10 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295971459,ME,"FARMINGTON DR, CHARLOTTESVILLE, VA",2025-09-21T11:49:28Z,00300,38.0579790239,-78.5419946931,RS15 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295957409,ME,"PANTOPS MOUNTAIN PL, CHARLOTTESVILLE, VA",2025-09-21T11:05:49Z,00300,38.0265688518,-78.4362395685,"E161 (AR), RS16 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295940964,ME,"PROSPECT AVE, CHARLOTTESVILLE, VA",2025-09-21T10:12:38Z,54000,38.0239709269,-78.4945727934,"E5 (AR), RSFM1 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295932472,ME,"MOCKINGBIRD WAY, CHARLOTTESVILLE, VA",2025-09-21T09:47:33Z,00300,38.0692178590,-78.4781301702,"C89 (AR), E83 (AR), RS18 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295874634,ME,"TIMBERLAND LN, CHARLOTTESVILLE, VA",2025-09-21T07:08:29Z,00300,38.0092049666,-78.5208981901,"E111 (AR), RS11 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295865810,ME,"15TH ST NW, CHARLOTTESVILLE, VA",2025-09-21T06:57:47Z,54000,38.0372014961,-78.4995342789,"E7 (AR), RSFM1 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295864842,ME,"TREE HOUSE DR, CHARLOTTESVILLE, VA",2025-09-21T06:56:05Z,54000,38.0328661788,-78.5155439260,"RS143 (AR), UVA2 (AR)"
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295864650,ME,"COMMONWEALTH DR, CHARLOTTESVILLE, VA",2025-09-21T06:43:09Z,00300,38.0711919124,-78.4918705476,RS18 (AR)
https://web.pulsepoint.org/images/respond_icons/me_map_recent.png,recent,2295852278,ME,"HIGHLANDS DR, CHARLOTTESVILLE, VA",2025-09-21T06:31:25Z,00300,38.0649068054,-78.6658009253,"RS502 (AR), RS503 (AR)"
